
2025/01/05 (15:22:19) | ===> btop++ v.1.4.0
2025/01/05 (15:22:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/05 (15:22:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (19:53:09) | ===> btop++ v.1.4.0
2025/01/07 (19:53:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (19:53:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:05:55) | ===> btop++ v.1.4.0
2025/01/07 (22:05:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (22:05:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:07:31) | ===> btop++ v.1.4.0
2025/01/07 (22:07:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (22:07:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/07 (22:08:44) | ===> btop++ v.1.4.0
2025/01/07 (22:08:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/07 (22:08:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/08 (02:12:38) | ===> btop++ v.1.4.0
2025/01/08 (02:12:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/08 (02:12:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/09 (17:18:06) | ===> btop++ v.1.4.0
2025/01/09 (17:18:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/09 (17:18:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (18:26:46) | ===> btop++ v.1.4.0
2025/01/10 (18:26:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/10 (18:26:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (19:35:53) | ===> btop++ v.1.4.0
2025/01/11 (19:35:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (19:35:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (19:36:07) | ===> btop++ v.1.4.0
2025/01/11 (19:36:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (19:36:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/11 (20:26:04) | ===> btop++ v.1.4.0
2025/01/11 (20:26:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/11 (20:26:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/01/11 (20:29:05) | ERROR: Stall in Runner thread, restarting!

2025/01/13 (00:12:33) | ===> btop++ v.1.4.0
2025/01/13 (00:12:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/13 (00:12:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/19 (22:25:14) | ===> btop++ v.1.4.0
2025/01/19 (22:25:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/19 (22:25:14) | WARNING: Intel GPU: Failed to initialize PMU
